name,p_nom,technology,emission_factor,p_nom_max,p_nom_extendable,min_power,efficiency,marginal_cost,bus,capital_cost
Unit_284,299,lignite,0.4,299,FALSE,59.8,0.338157515,1.65,3,
Unit_285,292,lignite,0.4,292,FALSE,58.4,0.342760735,1.65,3,
Unit_286,500,lignite,0.4,500,FALSE,100,0.374983272,1.65,61,
Unit_287,500,lignite,0.4,500,FALSE,100,0.379586492,1.65,61,
Unit_288,433,hard coal,0.3,433,FALSE,86.6,0.396938261,1.3,166,1300000
Unit_289,720,hard coal,0.3,720,FALSE,144,0.388157663,1.3,75,1300000
Unit_290,726,hard coal,0.3,726,FALSE,145.2,0.392547962,1.3,122,1300000
Unit_291,345,hard coal,0.3,345,FALSE,69,0.359620717,1.3,125,1300000
Unit_292,345,hard coal,0.3,345,FALSE,69,0.361815866,1.3,125,1300000
Unit_293,580,natural gas,0.2,580,FALSE,116,0.360129184,5.5,0,
Unit_294,522,hard coal,0.3,522,FALSE,104.4,0.412304309,1.3,0,1300000
Unit_295,386,oil,0.25,386,FALSE,77.2,0.3553,5.5,87,
Unit_296,386,oil,0.25,386,FALSE,77.2,0.3564,5.5,87,
Unit_297,125,hard coal,0.3,125,FALSE,25,0.353035268,1.3,161,1300000
Unit_298,125,hard coal,0.3,125,FALSE,25,0.355230417,1.3,161,1300000
Unit_299,114,natural gas,0.2,114,FALSE,22.8,0.383020195,5.5,187,
Unit_300,239,natural gas,0.2,239,FALSE,47.8,0.375492804,5.5,187,
Unit_301,250,natural gas,0.2,250,FALSE,50,0.360129184,5.5,54,
Unit_302,425,hard coal,0.3,425,FALSE,85,0.390352812,1.3,38,1300000
Unit_303,85,oil,0.25,85,FALSE,17,0.315,5.5,17,
Unit_304,875,hard coal,0.3,875,FALSE,175,0.401328561,1.3,199,1300000
Unit_305,655.6,hard coal,0.3,655.6,FALSE,131.12,0.377181914,1.3,122,1300000
Unit_306,282,natural gas,0.2,282,FALSE,56.4,0.404911064,5.5,87,
Unit_307,282,natural gas,0.2,282,FALSE,56.4,0.404911064,5.5,87,
Unit_308,282,natural gas,0.2,282,FALSE,56.4,0.404911064,5.5,87,
Unit_309,576,natural gas,0.2,576,FALSE,115.2,0.407362585,5.5,87,
Unit_310,211,hard coal,0.3,211,FALSE,42.2,0.40571886,1.3,16,1300000
Unit_311,179,hard coal,0.3,179,FALSE,35.8,0.390352812,1.3,16,1300000
Unit_312,96,hard coal,0.3,96,FALSE,19.2,0.350840118,1.3,161,1300000
Unit_313,148,hard coal,0.3,148,FALSE,29.6,0.357425567,1.3,161,1300000
Unit_314,77.4,oil,0.25,77.4,FALSE,15.48,0.3046,5.5,17,
Unit_315,263.5,oil,0.25,263.5,FALSE,52.7,0.3575,5.5,17,
Unit_316,415,oil,0.25,415,FALSE,83,0.3564,5.5,87,
Unit_317,52.28,natural gas,0.2,52.28,FALSE,10.456,0.381733322,5.5,187,
Unit_318,71.955,natural gas,0.2,71.955,FALSE,14.391,0.399762807,5.5,85,
Unit_319,130.574,natural gas,0.2,130.574,FALSE,261.148,0.478000698,5.5,30,
Unit_320,54,waste,0,54,FALSE,10.8,0.33,0,175,
Unit_321,72,natural gas,0.2,72,FALSE,14.4,0.340263607,5.5,1,
Unit_322,55.4,natural gas,0.2,55.4,FALSE,11.08,0.374899525,5.5,8,
Unit_323,65.1,waste,0,65.1,FALSE,13.02,0.33,0,167,
Unit_324,112.6,natural gas,0.2,112.6,FALSE,22.52,0.374650252,5.5,196,
